Southwell, Robert (1635-1702);Southwell, Robert (1635-1702)
Sower, christopher (1695-1758);Sower, christopher (1695-1758)
Sower, christopher (1754-1799);Sower, christopher (1754-1799)
Stennett, Joseph (1663-1713);Stennett, Joseph (1663-1713)
Stennett, Joseph (1692-1758);Stennett, Joseph (1692-1758)
Stephens, Edward (1640-1660);Stephens, Edward (active 1640-1660);Stephens, Edward (1640-1660)
Stephens, Edward (1640-1706);Stephens, Edward (???1640-1706);Stephens, Edward (1640-1706)
Stephens, William (1671-1718);Stephens, William (1647-1718);Stephens, William (1671-1718)
Stephens, William (1671-1753);Stephens, William (1671-1753)
Stewart, James (1635-1713);Stewart, James (1635-1713)
Stewart, James (1635-1715);Stewart, James (1635-1715)
Still, John (1761-1839);Still, John (???1761-1839);Still, John (1761-1839)
Still, John (1795-1839);Still, John (???1795-1839);Still, John (1795-1839)
Stoughton, William (1584-NA);Stoughton, William (active 1584-1584);Stoughton, William (1584-NA)
Stoughton, William (1632-1702);Stoughton, William (1632-1701);Stoughton, William (1632-1702)
Stoughton, William (NA-1718);Stoughton, William (???NA-1718);Stoughton, William (NA-1718)
Taylor, John (1580-1653);Taylor, John (1580-1653)
Taylor, John (1704-1766);Taylor, John (1704-1766)
Taylor, John (NA-1808);Taylor, John (???NA-1808);Taylor, John (NA-1808)
Taylor, John (NA-NA);Taylor, John (???NA-NA);Taylor, John (NA-NA)
Thomas, John (1600-1699);Thomas, John (active during 1600-1699);Thomas, John (1600-1699)
Thomas, John (1691-1766);Thomas, John (1691-1766)
Thomas, John (1736-1769);Thomas, John (1736-1769)
Thompson, William (1730-1649);Thompson, William (???1730-1649);Thompson, William (1730-1649)
Thompson, William (1730-1800);Thompson, William (1730-1800)
Trapp, Joseph (1749-1747);Trapp, Joseph (1679-1747);Trapp, Joseph (1749-1747)
Trumbull, John (1750-1831);Trumbull, John (1750-1831)
Trumbull, John (1756-1843);Trumbull, John (1756-1843)
Turner, John (1650-1720);Turner, John (1660-1720);Turner, John (1650-1720)
Vernon, Edward (1669-1743);Vernon, Edward (???1669-1743);Vernon, Edward (1669-1743)
Vernon, Edward (1684-1757);Vernon, Edward (1684-1757)
Waller, edmund (1606-1687);Waller, edmund (1606-1687)
Waller, edmund (1699-1771);Waller, edmund (1699-1771)
Waller, William (1597-1668);Waller, William (1597-1668)
Waller, William (1597-1699);Waller, William (1639-1699);Waller, William (1597-1699)
Wall, John (1588-1666);Wall, John (1588-1666)
Wall, John (1620-1679);Wall, John (1620-1679)
Ward, John (1642-1643);Ward, John (active 1642-1643);Ward, John (1642-1643)
Ward, John (1642-1665);Ward, John (???1642-1665);Ward, John (1642-1665)
Warner, John (1628-1648);Warner, John (NA-1648);Warner, John (1628-1648)
Warner, John (1628-1692);Warner, John (1628-1692)
Warner, John (1628-NA);Warner, John (???1628-NA);Warner, John (1628-NA)
Watson, John (1597-1783);Watson, John (1597-NA);Watson, John (1597-1783)
Watson, John (1725-1783);Watson, John (1725-1783)
Watson, Richard (1612-1685);Watson, Richard (1612-1685)
Watson, Richard (1737-1816);Watson, Richard (1737-1816)
Webster, Samuel (1718-1796);Webster, Samuel (1718-1796)
Webster, Samuel (1743-1777);Webster, Samuel (???1743-1777);Webster, Samuel (1743-1777)
Wharton, George (1596-1672);Wharton, George (1596-1672)
Wharton, George (1617-1681);Wharton, George (1617-1681)
Whitehead, John (1630-1696);Whitehead, John (1630-1696)
Whitehead, John (1740-1804);Whitehead, John (1740-1804)
